Element,Rotation axis,GB type,Crystal type,Potential,Sigma,GB plane,Misorientation Angle (°),GB energy (J/m²),Free volume (nm)
Cu,[100],STGB,FCC,ADP,265,(0 -23 1),4.98,0.74,0.0145
Cu,[100],STGB,FCC,ADP,221,(0 -21 1),5.45,0.92,0.0164
Cu,[100],STGB,FCC,ADP,181,(0 -19 1),6.03,0.80,0.0148
Cu,[100],STGB,FCC,ADP,257,(0 -16 -1),7.15,0.78,0.0154
Cu,[100],STGB,FCC,ADP,113,(0 -15 1),7.63,0.90,0.0189
Cu,[100],STGB,FCC,ADP,197,(0 -14 -1),8.17,0.87,0.0176
Cu,[100],STGB,FCC,ADP,85,(0 -13 1),8.8,0.91,0.0188
Cu,[100],STGB,FCC,ADP,61,(0 -11 1),10.39,0.99,0.0215
Cu,[100],STGB,FCC,ADP,37,(0 -6 -1),18.925,1.11,0.0271
Cu,[100],STGB,FCC,ADP,13,(0 -5 1),22.62,1.15,0.0288
Cu,[100],STGB,FCC,ADP,17,(0 -4 -1),28.072,1.06,0.0292
Cu,[100],STGB,FCC,ADP,5,(0 1 3),36.87,1.00,0.0313
Cu,[100],STGB,FCC,ADP,29,(0 -2 5),43.603,1.16,0.0271
Cu,[100],STGB,FCC,ADP,29,(0 -3 7),46.4,1.18,0.0296
Cu,[100],STGB,FCC,ADP,5,(0 1 2),53.13,1.06,0.0263
Cu,[100],STGB,FCC,ADP,17,(0 -5 -3),61.928,1.10,0.0256
Cu,[100],STGB,FCC,ADP,13,(0 -3 2),67.38,0.91,0.0212
Cu,[100],STGB,FCC,ADP,37,(0 -7 -5),71.075,1.02,0.0217
Cu,[100],STGB,FCC,ADP,25,(0 -4 3),73.74,0.85,0.0206
Cu,[100],STGB,FCC,ADP,41,(0 -5 4),77.32,0.81,0.0151
Cu,[100],STGB,FCC,ADP,61,(0 -6 5),79.611,1.11,0.0199
Cu,[100],STGB,FCC,EAM,265,(0 -23 1),4.98,0.84,0.0163
Cu,[100],STGB,FCC,EAM,221,(0 -21 1),5.45,0.76,0.0144
Cu,[100],STGB,FCC,EAM,181,(0 -19 1),6.03,0.84,0.0157
Cu,[100],STGB,FCC,EAM,257,(0 -16 -1),7.15,0.88,0.0169
Cu,[100],STGB,FCC,EAM,113,(0 -15 1),7.63,0.87,0.0185
Cu,[100],STGB,FCC,EAM,197,(0 -14 -1),8.17,0.80,0.0167
Cu,[100],STGB,FCC,EAM,85,(0 -13 1),8.8,0.89,0.0194
Cu,[100],STGB,FCC,EAM,61,(0 -11 1),10.39,1.02,0.0225
Cu,[100],STGB,FCC,EAM,41,(0 -9 1),12.68,0.99,0.0221
Cu,[100],STGB,FCC,EAM,25,(0 -7 1),16.26,1.11,0.0264
Cu,[100],STGB,FCC,EAM,37,(0 -6 -1),18.925,1.11,0.0268
Cu,[100],STGB,FCC,EAM,13,(0 -5 1),22.62,1.15,0.0283
Cu,[100],STGB,FCC,EAM,17,(0 -4 -1),28.072,1.05,0.0294
Cu,[100],STGB,FCC,EAM,5,(0 1 3),36.87,1.00,0.0291
Cu,[100],STGB,FCC,EAM,29,(0 -2 5),43.603,1.16,0.0277
Cu,[100],STGB,FCC,EAM,29,(0 -3 7),46.4,1.18,0.0292
Cu,[100],STGB,FCC,EAM,5,(0 1 2),53.13,1.06,0.0267
Cu,[100],STGB,FCC,EAM,17,(0 -5 -3),61.928,1.10,0.0254
Cu,[100],STGB,FCC,EAM,13,(0 -3 2),67.38,0.91,0.0206
Cu,[100],STGB,FCC,EAM,37,(0 -7 -5),71.075,1.02,0.0215
Cu,[100],STGB,FCC,EAM,25,(0 -4 3),73.74,0.84,0.0206
Cu,[100],STGB,FCC,EAM,41,(0 -5 4),77.32,0.81,0.0158
Cu,[100],STGB,FCC,EAM,61,(0 -6 5),79.611,1.11,0.0157
Cu,[100],STGB,FCC,GRACE,265,(0 -23 1),4.98,0.49,0.0116
Cu,[100],STGB,FCC,GRACE,221,(0 -21 1),5.45,0.52,0.0126
Cu,[100],STGB,FCC,GRACE,181,(0 -19 1),6.03,0.55,0.0136
Cu,[100],STGB,FCC,GRACE,257,(0 -16 -1),7.15,0.61,0.0156
Cu,[100],STGB,FCC,GRACE,113,(0 -15 1),7.63,0.62,0.0158
Cu,[100],STGB,FCC,GRACE,197,(0 -14 -1),8.17,0.67,0.0173
Cu,[100],STGB,FCC,GRACE,85,(0 -13 1),8.8,0.68,0.0177
Cu,[100],STGB,FCC,GRACE,61,(0 -11 1),10.39,0.74,0.0198
Cu,[100],STGB,FCC,GRACE,41,(0 -9 1),12.68,0.81,0.0229
Cu,[100],STGB,FCC,GRACE,25,(0 -7 1),16.26,0.90,0.0267
Cu,[100],STGB,FCC,GRACE,37,(0 -6 -1),18.92,0.95,0.0298
Cu,[100],STGB,FCC,GRACE,13,(0 -5 1),22.62,0.97,0.0320
Cu,[100],STGB,FCC,GRACE,17,(0 -4 -1),28.07,0.98,0.0304
Cu,[100],STGB,FCC,GRACE,5,(0 1 3),36.87,0.89,0.0317
Cu,[100],STGB,FCC,GRACE,29,(0 -2 5),43.6,0.97,0.0339
Cu,[100],STGB,FCC,GRACE,29,(0 -3 7),46.4,0.99,0.0344
Cu,[100],STGB,FCC,GRACE,5,(0 1 2),53.13,0.92,0.0343
Cu,[100],STGB,FCC,GRACE,17,(0 -5 -3),61.93,0.89,0.0294
Cu,[100],STGB,FCC,GRACE,13,(0 -3 2),67.38,0.77,0.0250
Cu,[100],STGB,FCC,GRACE,37,(0 -7 -5),71.08,1.00,0.0308
Cu,[100],STGB,FCC,GRACE,25,(0 -4 3),73.74,0.67,0.0201
Cu,[100],STGB,FCC,GRACE,41,(0 -5 4),77.32,0.95,0.0272
Cu,[100],STGB,FCC,GRACE,61,(0 -6 5),79.61,0.82,0.0293
Cu,[100],STGB,FCC,MACE,25,(0 -7 1),16.26,0.82,0.0236
Cu,[100],STGB,FCC,MACE,37,(0 -6 -1),18.92,0.87,0.0265
Cu,[100],STGB,FCC,MACE,13,(0 -5 1),22.62,0.91,0.0306
Cu,[100],STGB,FCC,MACE,17,(0 -4 -1),28.07,0.91,0.0279
Cu,[100],STGB,FCC,MACE,5,(0 1 3),36.87,0.83,0.0303
Cu,[100],STGB,FCC,MACE,29,(0 -2 5),43.6,0.91,0.0315
Cu,[100],STGB,FCC,MACE,29,(0 -3 7),46.4,0.92,0.0314
Cu,[100],STGB,FCC,MACE,5,(0 1 2),53.13,0.85,0.0306
Cu,[100],STGB,FCC,MACE,17,(0 -5 -3),61.93,0.81,0.0261
Cu,[100],STGB,FCC,MACE,13,(0 -3 2),67.38,0.70,0.0223
Cu,[100],STGB,FCC,MACE,37,(0 -7 -5),71.08,0.94,0.0329
Cu,[100],STGB,FCC,MACE,25,(0 -4 3),73.74,0.60,0.0176
Cu,[100],STGB,FCC,MACE,41,(0 -5 4),77.32,0.89,0.0324
Cu,[100],STGB,FCC,MACE,61,(0 -6 5),79.61,0.77,0.0269
Cu,[100],STGB,FCC,MEAM,113,(0 -15 1),7.63,0.98,0.0246
Cu,[100],STGB,FCC,MEAM,197,(0 -14 -1),8.17,0.84,0.0207
Cu,[100],STGB,FCC,MEAM,85,(0 -13 1),8.8,1.19,0.0284
Cu,[100],STGB,FCC,MEAM,41,(0 -9 1),12.68,1.10,0.0287
Cu,[100],STGB,FCC,MEAM,5,(0 1 3),36.87,0.97,0.0440
Cu,[100],STGB,FCC,ORB,25,(0 -7 1),16.26,0.83,0.0352
Cu,[100],STGB,FCC,ORB,37,(0 -6 -1),18.92,0.88,0.0199
Cu,[100],STGB,FCC,ORB,13,(0 -5 1),22.62,0.91,0.0216
Cu,[100],STGB,FCC,ORB,17,(0 -4 -1),28.07,1.02,0.0318
Cu,[100],STGB,FCC,ORB,5,(0 1 3),36.87,0.82,0.0316
Cu,[100],STGB,FCC,ORB,29,(0 -2 5),43.6,0.91,0.0349
Cu,[100],STGB,FCC,ORB,29,(0 -3 7),46.4,0.92,0.0320
Cu,[100],STGB,FCC,ORB,5,(0 1 2),53.13,0.86,0.0329
Cu,[100],STGB,FCC,ORB,17,(0 -5 -3),61.93,0.82,0.0300
Cu,[100],STGB,FCC,ORB,13,(0 -3 2),67.38,0.71,0.0196
Cu,[100],STGB,FCC,ORB,25,(0 -4 3),73.74,0.61,0.0169
Cu,[100],STGB,FCC,ORB,41,(0 -5 4),77.32,0.89,0.0316
Cu,[100],STGB,FCC,ORB,61,(0 -6 5),79.61,0.76,0.0276
Cu,[100],STGB,FCC,SNAP,265,(0 -23 1),4.98,0.60,0.0112
Cu,[100],STGB,FCC,SNAP,221,(0 -21 1),5.45,0.61,0.0121
Cu,[100],STGB,FCC,SNAP,181,(0 -19 1),6.03,0.65,0.0127
Cu,[100],STGB,FCC,SNAP,257,(0 -16 -1),7.15,0.72,0.0123
Cu,[100],STGB,FCC,SNAP,113,(0 -15 1),7.63,0.64,0.0118
Cu,[100],STGB,FCC,SNAP,197,(0 -14 -1),8.17,0.78,0.0127
Cu,[100],STGB,FCC,SNAP,85,(0 -13 1),8.8,0.73,0.0128
Cu,[100],STGB,FCC,SNAP,61,(0 -11 1),10.39,0.73,0.0147
Cu,[100],STGB,FCC,SNAP,41,(0 -9 1),12.68,0.97,0.0159
Cu,[100],STGB,FCC,SNAP,25,(0 -7 1),16.26,0.95,0.0170
Cu,[100],STGB,FCC,SNAP,37,(0 -6 -1),18.925,0.95,0.0162
Cu,[100],STGB,FCC,SNAP,13,(0 -5 1),22.62,1.00,0.0182
Cu,[100],STGB,FCC,SNAP,17,(0 -4 -1),28.072,0.98,0.0162
Cu,[100],STGB,FCC,SNAP,5,(0 1 3),36.87,0.96,0.0266
Cu,[100],STGB,FCC,SNAP,29,(0 -2 5),43.603,1.06,0.0211
Cu,[100],STGB,FCC,SNAP,29,(0 -3 7),46.4,1.16,0.0228
Cu,[100],STGB,FCC,SNAP,5,(0 1 2),53.13,1.01,0.0180
Cu,[100],STGB,FCC,SNAP,17,(0 -5 -3),61.928,0.95,0.0189
Cu,[100],STGB,FCC,SNAP,13,(0 -3 2),67.38,0.80,0.0146
Cu,[100],STGB,FCC,SNAP,37,(0 -7 -5),71.075,0.77,0.0202
Cu,[100],STGB,FCC,SNAP,25,(0 -4 3),73.74,0.70,0.0218
Cu,[100],STGB,FCC,SNAP,41,(0 -5 4),77.32,0.63,0.0168
Cu,[100],STGB,FCC,SNAP,61,(0 -6 5),79.611,0.85,0.0154
Cu,[100],STGB,FCC,SevenNet,25,(0 -7 1),16.26,0.76,0.0253
Cu,[100],STGB,FCC,SevenNet,37,(0 -6 -1),18.92,0.80,0.0282
Cu,[100],STGB,FCC,SevenNet,13,(0 -5 1),22.62,0.84,0.0322
Cu,[100],STGB,FCC,SevenNet,17,(0 -4 -1),28.07,0.90,0.0382
Cu,[100],STGB,FCC,SevenNet,5,(0 1 3),36.87,0.74,0.0321
Cu,[100],STGB,FCC,SevenNet,29,(0 -2 5),43.6,0.82,0.0325
Cu,[100],STGB,FCC,SevenNet,29,(0 -3 7),46.4,0.83,0.0327
Cu,[100],STGB,FCC,SevenNet,5,(0 1 2),53.13,0.78,0.0317
Cu,[100],STGB,FCC,SevenNet,17,(0 -5 -3),61.93,0.76,0.0276
Cu,[100],STGB,FCC,SevenNet,13,(0 -3 2),67.38,0.66,0.0234
Cu,[100],STGB,FCC,SevenNet,25,(0 -4 3),73.74,0.60,0.0184
Cu,[100],STGB,FCC,SevenNet,41,(0 -5 4),77.32,0.81,0.0344
Cu,[100],STGB,FCC,SevenNet,61,(0 -6 5),79.61,0.71,0.0289
Cu,[100],STGB,FCC,UMA,197,(0 -14 -1),8.17,1.37,0.0310
Cu,[100],STGB,FCC,UMA,41,(0 -9 1),12.68,1.73,0.0512
Cu,[100],STGB,FCC,UMA,25,(0 -7 1),16.26,1.60,0.0447
Cu,[100],STGB,FCC,UMA,37,(0 -6 -1),18.92,1.55,0.0459
Cu,[100],STGB,FCC,UMA,13,(0 -5 1),22.62,1.48,0.0456
Cu,[100],STGB,FCC,UMA,17,(0 -4 -1),28.07,1.48,0.0501
Cu,[100],STGB,FCC,UMA,5,(0 1 3),36.87,1.19,0.0412
Cu,[100],STGB,FCC,UMA,29,(0 -2 5),43.6,1.50,0.0479
Cu,[100],STGB,FCC,UMA,29,(0 -3 7),46.4,1.75,0.0558
Cu,[100],STGB,FCC,UMA,5,(0 1 2),53.13,1.13,0.0425
Cu,[100],STGB,FCC,UMA,17,(0 -5 -3),61.93,1.47,0.0429
Cu,[100],STGB,FCC,UMA,13,(0 -3 2),67.38,1.13,0.0348
Cu,[100],STGB,FCC,UMA,37,(0 -7 -5),71.08,1.87,0.0504
Cu,[100],STGB,FCC,UMA,25,(0 -4 3),73.74,1.17,0.0317
Cu,[100],STGB,FCC,UMA,41,(0 -5 4),77.32,1.59,0.0506
Cu,[100],STGB,FCC,UMA,61,(0 -6 5),79.61,1.60,0.0471
Cu,[100],STGB,FCC,UNEP,265,(0 -23 1),4.98,0.55,0.0029
Cu,[100],STGB,FCC,UNEP,221,(0 -21 1),5.45,0.58,0.0029
Cu,[100],STGB,FCC,UNEP,181,(0 -19 1),6.03,0.60,0.0064
Cu,[100],STGB,FCC,UNEP,257,(0 -16 -1),7.15,0.60,0.0109
Cu,[100],STGB,FCC,UNEP,113,(0 -15 1),7.63,0.69,0.0056
Cu,[100],STGB,FCC,UNEP,197,(0 -14 -1),8.17,0.69,0.0103
Cu,[100],STGB,FCC,UNEP,85,(0 -13 1),8.8,0.68,0.0101
Cu,[100],STGB,FCC,UNEP,61,(0 -11 1),10.39,0.72,0.0124
Cu,[100],STGB,FCC,UNEP,41,(0 -9 1),12.68,0.76,0.0131
Cu,[100],STGB,FCC,UNEP,37,(0 -6 -1),18.92,0.86,0.0170
Cu,[100],STGB,FCC,UNEP,13,(0 -5 1),22.62,0.97,0.0245
Cu,[100],STGB,FCC,UNEP,17,(0 -4 -1),28.07,0.89,0.0238
Cu,[100],STGB,FCC,UNEP,5,(0 1 3),36.87,0.93,0.0296
Cu,[100],STGB,FCC,UNEP,29,(0 -2 5),43.6,0.98,0.0343
Cu,[100],STGB,FCC,UNEP,29,(0 -3 7),46.4,0.98,0.0263
Cu,[100],STGB,FCC,UNEP,5,(0 1 2),53.13,0.95,0.0382
Cu,[100],STGB,FCC,UNEP,17,(0 -5 -3),61.93,0.89,0.0309
Cu,[100],STGB,FCC,UNEP,13,(0 -3 2),67.38,0.78,0.0280
Cu,[100],STGB,FCC,UNEP,37,(0 -7 -5),71.08,0.74,0.0201
Cu,[100],STGB,FCC,UNEP,25,(0 -4 3),73.74,0.72,0.0213
Cu,[100],STGB,FCC,UNEP,41,(0 -5 4),77.32,0.62,0.0162
Cu,[100],STGB,FCC,UNEP,61,(0 -6 5),79.61,0.61,0.0168
Cu,[100],STGB,FCC,eSEN,181,(0 -19 1),6.03,0.58,0.0200
Cu,[100],STGB,FCC,eSEN,257,(0 -16 -1),7.15,0.64,0.0214
Cu,[100],STGB,FCC,eSEN,197,(0 -14 -1),8.17,0.69,0.0230
Cu,[100],STGB,FCC,eSEN,85,(0 -13 1),8.8,0.71,0.0242
Cu,[100],STGB,FCC,eSEN,61,(0 -11 1),10.39,0.76,0.0262
Cu,[100],STGB,FCC,eSEN,41,(0 -9 1),12.68,0.84,0.0297
Cu,[100],STGB,FCC,eSEN,25,(0 -7 1),16.26,0.91,0.0328
Cu,[100],STGB,FCC,eSEN,37,(0 -6 -1),18.92,0.96,0.0352
Cu,[100],STGB,FCC,eSEN,13,(0 -5 1),22.62,0.98,0.0369
Cu,[100],STGB,FCC,eSEN,17,(0 -4 -1),28.07,1.02,0.0964
Cu,[100],STGB,FCC,eSEN,5,(0 1 3),36.87,0.86,0.0355
Cu,[100],STGB,FCC,eSEN,29,(0 -2 5),43.6,0.96,0.0378
Cu,[100],STGB,FCC,eSEN,29,(0 -3 7),46.4,0.98,0.0391
Cu,[100],STGB,FCC,eSEN,5,(0 1 2),53.13,0.92,0.0357
Cu,[100],STGB,FCC,eSEN,17,(0 -5 -3),61.93,0.91,0.0334
Cu,[100],STGB,FCC,eSEN,13,(0 -3 2),67.38,0.79,0.0281
Cu,[100],STGB,FCC,eSEN,37,(0 -7 -5),71.08,0.98,0.0482
Cu,[100],STGB,FCC,eSEN,25,(0 -4 3),73.74,0.70,0.0240
Cu,[100],STGB,FCC,eSEN,41,(0 -5 4),77.32,0.90,0.0509
Cu,[100],STGB,FCC,eSEN,61,(0 -6 5),79.61,0.79,0.0440
Cu,[100],TWGB,FCC,ADP,265,(1 0 0),4.98,0.35,0.0059
Cu,[100],TWGB,FCC,ADP,221,(1 0 0),5.45,0.38,0.0065
Cu,[100],TWGB,FCC,ADP,181,(1 0 0),6.03,0.40,0.0069
Cu,[100],TWGB,FCC,ADP,145,(1 0 0),6.73,0.43,0.0076
Cu,[100],TWGB,FCC,ADP,257,(1 0 0),7.15,0.43,0.0076
Cu,[100],TWGB,FCC,ADP,113,(1 0 0),7.63,0.46,0.0084
Cu,[100],TWGB,FCC,ADP,197,(1 0 0),8.17,0.47,0.0085
Cu,[100],TWGB,FCC,ADP,85,(1 0 0),8.8,0.49,0.0090
Cu,[100],TWGB,FCC,ADP,61,(1 0 0),10.39,0.53,0.0104
Cu,[100],TWGB,FCC,ADP,101,(1 0 0),11.42,0.55,0.0108
Cu,[100],TWGB,FCC,ADP,41,(1 0 0),12.68,0.58,0.0120
Cu,[100],TWGB,FCC,ADP,25,(1 0 0),16.26,0.64,0.0142
Cu,[100],TWGB,FCC,ADP,37,(1 0 0),18.92,0.68,0.0155
Cu,[100],TWGB,FCC,ADP,13,(1 0 0),22.62,0.72,0.0174
Cu,[100],TWGB,FCC,ADP,89,(1 0 0),25.99,0.76,0.0187
Cu,[100],TWGB,FCC,ADP,17,(1 0 0),28.07,0.77,0.0194
Cu,[100],TWGB,FCC,ADP,53,(1 0 0),31.89,0.80,0.0208
Cu,[100],TWGB,FCC,ADP,109,(1 0 0),33.4,0.80,0.0211
Cu,[100],TWGB,FCC,ADP,5,(1 0 0),36.87,0.80,0.0219
Cu,[100],TWGB,FCC,ADP,73,(1 0 0),41.11,0.82,0.0219
Cu,[100],TWGB,FCC,ADP,97,(1 0 0),42.08,0.82,0.0221
Cu,[100],TWGB,FCC,ADP,29,(1 0 0),43.6,0.82,0.0220
Cu,[100],TWGB,FCC,ADP,29,(1 0 0),46.4,0.82,0.0220
Cu,[100],TWGB,FCC,ADP,97,(1 0 0),47.92,0.82,0.0221
Cu,[100],TWGB,FCC,ADP,73,(1 0 0),48.89,0.82,0.0219
Cu,[100],TWGB,FCC,ADP,5,(1 0 0),53.13,0.80,0.0219
Cu,[100],TWGB,FCC,ADP,109,(1 0 0),56.6,0.80,0.0211
Cu,[100],TWGB,FCC,ADP,53,(1 0 0),58.11,0.80,0.0208
Cu,[100],TWGB,FCC,ADP,17,(1 0 0),61.93,0.77,0.0194
Cu,[100],TWGB,FCC,ADP,89,(1 0 0),64.01,0.76,0.0187
Cu,[100],TWGB,FCC,ADP,13,(1 0 0),67.38,0.72,0.0174
Cu,[100],TWGB,FCC,ADP,37,(1 0 0),71.08,0.68,0.0155
Cu,[100],TWGB,FCC,ADP,25,(1 0 0),73.74,0.64,0.0142
Cu,[100],TWGB,FCC,ADP,41,(1 0 0),77.32,0.58,0.0120
Cu,[100],TWGB,FCC,ADP,101,(1 0 0),78.58,0.55,0.0108
Cu,[100],TWGB,FCC,ADP,61,(1 0 0),79.61,0.53,0.0104
Cu,[100],TWGB,FCC,ADP,85,(1 0 0),81.2,0.49,0.0090
Cu,[100],TWGB,FCC,ADP,197,(1 0 0),81.83,0.47,0.0085
Cu,[100],TWGB,FCC,ADP,113,(1 0 0),82.37,0.46,0.0084
Cu,[100],TWGB,FCC,ADP,257,(1 0 0),82.85,0.43,0.0076
Cu,[100],TWGB,FCC,ADP,145,(1 0 0),83.27,0.43,0.0076
Cu,[100],TWGB,FCC,ADP,181,(1 0 0),83.97,0.40,0.0069
Cu,[100],TWGB,FCC,ADP,221,(1 0 0),84.55,0.38,0.0065
Cu,[100],TWGB,FCC,ADP,265,(1 0 0),85.02,0.35,0.0059
Cu,[100],TWGB,FCC,EAM,265,(1 0 0),4.98,0.35,0.0059
Cu,[100],TWGB,FCC,EAM,221,(1 0 0),5.45,0.38,0.0065
Cu,[100],TWGB,FCC,EAM,181,(1 0 0),6.03,0.40,0.0069
Cu,[100],TWGB,FCC,EAM,145,(1 0 0),6.73,0.43,0.0076
Cu,[100],TWGB,FCC,EAM,257,(1 0 0),7.15,0.43,0.0076
Cu,[100],TWGB,FCC,EAM,113,(1 0 0),7.63,0.46,0.0085
Cu,[100],TWGB,FCC,EAM,197,(1 0 0),8.17,0.47,0.0085
Cu,[100],TWGB,FCC,EAM,85,(1 0 0),8.8,0.49,0.0090
Cu,[100],TWGB,FCC,EAM,61,(1 0 0),10.39,0.53,0.0103
Cu,[100],TWGB,FCC,EAM,101,(1 0 0),11.42,0.55,0.0108
Cu,[100],TWGB,FCC,EAM,41,(1 0 0),12.68,0.58,0.0119
Cu,[100],TWGB,FCC,EAM,25,(1 0 0),16.26,0.64,0.0142
Cu,[100],TWGB,FCC,EAM,37,(1 0 0),18.92,0.68,0.0156
Cu,[100],TWGB,FCC,EAM,13,(1 0 0),22.62,0.72,0.0174
Cu,[100],TWGB,FCC,EAM,89,(1 0 0),25.99,0.76,0.0187
Cu,[100],TWGB,FCC,EAM,17,(1 0 0),28.07,0.77,0.0194
Cu,[100],TWGB,FCC,EAM,53,(1 0 0),31.89,0.80,0.0208
Cu,[100],TWGB,FCC,EAM,109,(1 0 0),33.4,0.80,0.0211
Cu,[100],TWGB,FCC,EAM,5,(1 0 0),36.87,0.80,0.0220
Cu,[100],TWGB,FCC,EAM,73,(1 0 0),41.11,0.82,0.0219
Cu,[100],TWGB,FCC,EAM,29,(1 0 0),43.6,0.82,0.0220
Cu,[100],TWGB,FCC,EAM,29,(1 0 0),46.4,0.82,0.0220
Cu,[100],TWGB,FCC,EAM,73,(1 0 0),48.89,0.82,0.0219
Cu,[100],TWGB,FCC,EAM,5,(1 0 0),53.13,0.80,0.0220
Cu,[100],TWGB,FCC,EAM,109,(1 0 0),56.6,0.80,0.0211
Cu,[100],TWGB,FCC,EAM,53,(1 0 0),58.11,0.80,0.0208
Cu,[100],TWGB,FCC,EAM,17,(1 0 0),61.93,0.77,0.0194
Cu,[100],TWGB,FCC,EAM,89,(1 0 0),64.01,0.76,0.0187
Cu,[100],TWGB,FCC,EAM,13,(1 0 0),67.38,0.72,0.0174
Cu,[100],TWGB,FCC,EAM,37,(1 0 0),71.08,0.68,0.0156
Cu,[100],TWGB,FCC,EAM,25,(1 0 0),73.74,0.64,0.0142
Cu,[100],TWGB,FCC,EAM,41,(1 0 0),77.32,0.58,0.0119
Cu,[100],TWGB,FCC,EAM,101,(1 0 0),78.58,0.55,0.0108
Cu,[100],TWGB,FCC,EAM,61,(1 0 0),79.61,0.53,0.0103
Cu,[100],TWGB,FCC,EAM,85,(1 0 0),81.2,0.49,0.0090
Cu,[100],TWGB,FCC,EAM,197,(1 0 0),81.83,0.47,0.0085
Cu,[100],TWGB,FCC,EAM,113,(1 0 0),82.37,0.46,0.0085
Cu,[100],TWGB,FCC,EAM,257,(1 0 0),82.85,0.43,0.0076
Cu,[100],TWGB,FCC,EAM,145,(1 0 0),83.27,0.43,0.0076
Cu,[100],TWGB,FCC,EAM,181,(1 0 0),83.97,0.40,0.0069
Cu,[100],TWGB,FCC,EAM,221,(1 0 0),84.55,0.38,0.0065
Cu,[100],TWGB,FCC,EAM,265,(1 0 0),85.02,0.35,0.0059
Cu,[100],TWGB,FCC,GRACE,265,(1 0 0),4.98,0.61,0.0141
Cu,[100],TWGB,FCC,GRACE,221,(1 0 0),5.45,0.67,0.0149
Cu,[100],TWGB,FCC,GRACE,181,(1 0 0),6.03,0.69,0.0157
Cu,[100],TWGB,FCC,GRACE,145,(1 0 0),6.73,0.76,0.0166
Cu,[100],TWGB,FCC,GRACE,257,(1 0 0),7.15,0.70,0.0169
Cu,[100],TWGB,FCC,GRACE,113,(1 0 0),7.63,0.79,0.0175
Cu,[100],TWGB,FCC,GRACE,197,(1 0 0),8.17,0.77,0.0179
Cu,[100],TWGB,FCC,GRACE,85,(1 0 0),8.8,0.83,0.0187
Cu,[100],TWGB,FCC,GRACE,61,(1 0 0),10.39,0.87,0.0200
Cu,[100],TWGB,FCC,GRACE,101,(1 0 0),11.42,0.90,0.0206
Cu,[100],TWGB,FCC,GRACE,41,(1 0 0),12.68,0.94,0.0215
Cu,[100],TWGB,FCC,GRACE,25,(1 0 0),16.26,1.02,0.0232
Cu,[100],TWGB,FCC,GRACE,37,(1 0 0),18.92,1.07,0.0241
Cu,[100],TWGB,FCC,GRACE,13,(1 0 0),22.62,1.12,0.0252
Cu,[100],TWGB,FCC,GRACE,89,(1 0 0),25.99,1.17,0.0260
Cu,[100],TWGB,FCC,GRACE,17,(1 0 0),28.07,1.19,0.0262
Cu,[100],TWGB,FCC,GRACE,53,(1 0 0),31.89,1.22,0.0273
Cu,[100],TWGB,FCC,GRACE,109,(1 0 0),33.4,1.23,0.0276
Cu,[100],TWGB,FCC,GRACE,5,(1 0 0),36.87,1.24,0.0283
Cu,[100],TWGB,FCC,GRACE,73,(1 0 0),41.11,1.25,0.0286
Cu,[100],TWGB,FCC,GRACE,29,(1 0 0),43.6,1.26,0.0287
Cu,[100],TWGB,FCC,GRACE,29,(1 0 0),46.4,1.26,0.0287
Cu,[100],TWGB,FCC,GRACE,73,(1 0 0),48.89,1.25,0.0286
Cu,[100],TWGB,FCC,GRACE,5,(1 0 0),53.13,1.24,0.0283
Cu,[100],TWGB,FCC,GRACE,109,(1 0 0),56.6,1.23,0.0276
Cu,[100],TWGB,FCC,GRACE,53,(1 0 0),58.11,1.22,0.0273
Cu,[100],TWGB,FCC,GRACE,17,(1 0 0),61.93,1.19,0.0262
Cu,[100],TWGB,FCC,GRACE,89,(1 0 0),64.01,1.17,0.0260
Cu,[100],TWGB,FCC,GRACE,13,(1 0 0),67.38,1.12,0.0252
Cu,[100],TWGB,FCC,GRACE,37,(1 0 0),71.08,1.07,0.0241
Cu,[100],TWGB,FCC,GRACE,25,(1 0 0),73.74,1.02,0.0232
Cu,[100],TWGB,FCC,GRACE,41,(1 0 0),77.32,0.94,0.0215
Cu,[100],TWGB,FCC,GRACE,101,(1 0 0),78.58,0.90,0.0206
Cu,[100],TWGB,FCC,GRACE,61,(1 0 0),79.61,0.87,0.0200
Cu,[100],TWGB,FCC,GRACE,85,(1 0 0),81.2,0.83,0.0187
Cu,[100],TWGB,FCC,GRACE,197,(1 0 0),81.83,0.77,0.0179
Cu,[100],TWGB,FCC,GRACE,113,(1 0 0),82.37,0.79,0.0175
Cu,[100],TWGB,FCC,GRACE,257,(1 0 0),82.85,0.70,0.0169
Cu,[100],TWGB,FCC,GRACE,145,(1 0 0),83.27,0.76,0.0166
Cu,[100],TWGB,FCC,GRACE,181,(1 0 0),83.97,0.69,0.0157
Cu,[100],TWGB,FCC,GRACE,221,(1 0 0),84.55,0.67,0.0149
Cu,[100],TWGB,FCC,GRACE,265,(1 0 0),85.02,0.61,0.0141
Cu,[100],TWGB,FCC,MACE,41,(1 0 0),12.68,0.77,0.0202
Cu,[100],TWGB,FCC,MACE,25,(1 0 0),16.26,0.85,0.0220
Cu,[100],TWGB,FCC,MACE,37,(1 0 0),18.92,0.90,0.0229
Cu,[100],TWGB,FCC,MACE,13,(1 0 0),22.62,0.95,0.0240
Cu,[100],TWGB,FCC,MACE,17,(1 0 0),28.07,1.02,0.0251
Cu,[100],TWGB,FCC,MACE,5,(1 0 0),36.87,1.07,0.0276
